period start,symbol,price,change %,min,max,30d avg
2020-07-03T12:00:09+00:00,DE,$405.28,162.18%,$152.10,$441.61,$387.64
2020-07-03T12:00:09+00:00,DAL,$47.88,68.35%,$24.94,$51.65,$41.54
2020-07-03T12:00:09+00:00,XRAY,$38.83,-10.10%,$26.53,$67.27,$38.50
2020-07-03T12:00:09+00:00,DVN,$48.85,440.20%,$6.79,$73.29,$48.16
2020-07-03T12:00:09+00:00,DXCM,$126.71,19.77%,$67.99,$162.82,$124.24
2020-07-03T12:00:09+00:00,FANG,$132.40,252.60%,$21.73,$160.40,$129.60
2020-07-03T12:00:09+00:00,DLR,$113.80,-14.08%,$85.48,$166.04,$105.08
2020-07-03T12:00:09+00:00,DFS,$116.94,146.42%,$43.55,$129.87,$112.71
Could not fetch closing data
Could not fetch closing data
2020-07-03T12:00:09+00:00,DISH,$7.28,-78.27%,$6.02,$46.53,$6.67
2020-07-03T12:00:09+00:00,DG,$169.33,-7.39%,$153.05,$259.14,$171.00
2020-07-03T12:00:09+00:00,DLTR,$143.54,59.88%,$84.54,$174.08,$139.43
2020-07-03T12:00:09+00:00,D,$52.24,-20.34%,$49.02,$83.83,$51.82
2020-07-03T12:00:09+00:00,DPZ,$341.68,-8.34%,$288.69,$553.18,$313.47
2020-07-03T12:00:09+00:00,DOV,$146.10,54.83%,$90.85,$178.99,$142.03
2020-07-03T12:00:09+00:00,DOW,$53.10,44.99%,$34.03,$66.25,$51.96
2020-07-03T12:00:09+00:00,DTE,$109.99,31.09%,$82.54,$133.73,$110.02
2020-07-03T12:00:09+00:00,DUK,$89.77,26.71%,$70.78,$109.93,$90.32
Could not fetch closing data
2020-07-03T12:00:09+00:00,DD,$70.41,36.34%,$48.15,$82.50,$69.38
2020-07-03T12:00:09+00:00,DXC,$27.22,78.02%,$15.16,$43.42,$26.17
Could not fetch closing data
2020-07-03T12:00:09+00:00,EMN,$84.96,29.43%,$62.30,$121.13,$81.12
2020-07-03T12:00:09+00:00,ETN,$198.46,138.41%,$80.21,$201.10,$190.32
2020-07-03T12:00:09+00:00,EBAY,$44.26,-17.39%,$36.21,$78.00,$44.47
2020-07-03T12:00:09+00:00,ECL,$183.40,-6.01%,$130.04,$230.97,$177.21
2020-07-03T12:00:09+00:00,EIX,$68.86,40.33%,$43.16,$73.40,$67.48
2020-07-03T12:00:09+00:00,EW,$90.26,29.81%,$67.19,$130.68,$87.91
2020-07-03T12:00:09+00:00,EA,$129.20,-2.31%,$109.03,$146.92,$127.67
2020-07-03T12:00:09+00:00,EMR,$88.94,52.70%,$55.41,$101.48,$85.23
2020-07-03T12:00:09+00:00,ETR,$97.46,13.05%,$79.82,$120.01,$99.06
2020-07-03T12:00:09+00:00,EOG,$116.20,173.43%,$27.90,$143.28,$111.89
2020-07-03T12:00:09+00:00,EFX,$225.61,34.56%,$133.83,$293.63,$223.22
2020-07-03T12:00:09+00:00,EQIX,$772.31,12.38%,$498.16,$855.47,$756.63
2020-07-03T12:00:09+00:00,EQR,$66.54,24.65%,$41.91,$88.63,$63.88
2020-07-03T12:00:09+00:00,ESS,$233.25,9.72%,$170.11,$342.07,$225.95
2020-07-03T12:00:09+00:00,EL,$192.46,3.00%,$176.53,$365.95,$190.59
2020-07-03T12:00:09+00:00,RE,$351.28,82.84%,$184.29,$387.21,$345.35
2020-07-03T12:00:09+00:00,EVRG,$58.69,6.75%,$44.37,$69.23,$58.55
2020-07-03T12:00:09+00:00,ES,$70.83,-7.61%,$67.92,$90.93,$70.48
2020-07-03T12:00:09+00:00,EXC,$40.96,69.90%,$22.45,$48.26,$40.28
2020-07-03T12:00:09+00:00,EXPE,$111.88,28.10%,$79.74,$213.80,$105.90
2020-07-03T12:00:09+00:00,EXPD,$118.90,59.12%,$73.97,$133.20,$116.39
2020-07-03T12:00:09+00:00,EXR,$148.12,69.95%,$86.13,$214.41,$145.28
2020-07-03T12:00:09+00:00,XOM,$103.16,172.24%,$27.48,$117.32,$105.30
2020-07-03T12:00:09+00:00,FFIV,$143.42,2.66%,$117.77,$247.78,$146.52
Could not fetch closing data
2020-07-03T12:00:09+00:00,FAST,$57.87,41.52%,$39.78,$62.05,$56.18
2020-07-03T12:00:09+00:00,FRT,$95.98,26.39%,$60.67,$130.65,$92.46
2020-07-03T12:00:09+00:00,FDX,$251.25,68.66%,$140.37,$303.17,$231.82
